n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
62,	101159,	-59,	138.778045654297,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.919,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101160,	-56,	-89.8269577026367,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.921,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101161,	-64,	-37.5194549560547,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.923,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101162,	-58,	-128.703262329102,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.932,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101163,	-58,	-3.03781247138977,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.935,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101164,	-65,	-95.5070648193359,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.937,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101165,	-56,	-90.2829055786133,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.947,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101166,	-64,	-35.8879356384277,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.949,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101167,	-59,	138.135314941406,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.951,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
62,	101168,	-58,	-126.81356048584,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752091083.965,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
