n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
56,	63995,	-62,	-139.277938842773,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.014,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	start,	1276886.94791985,	1276886.94845249
56,	63996,	-65,	-38.9806823730469,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.028,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	63997,	-66,	80.4992828369141,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.036,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	63998,	-56,	81.3672256469727,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.044,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	63999,	-62,	-140.986358642578,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.048,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	64000,	-62,	-140.832550048828,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.064,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	64001,	-56,	82.1033325195312,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.066,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	64002,	-64,	-45.0892677307129,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.08,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	64003,	-66,	85.3993377685547,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.097,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	64004,	-62,	-143.183685302734,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.107,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
56,	64005,	-56,	81.7352828979492,	865.7,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752086818.109,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
