prior,features,method,samples_%,mae,rmse
PD,Full Model,MCMC,40,0.3461,0.4517
MUSIC,Full Model,MCMC,40,0.3481,0.4497
DS,Full Model,MCMC,40,0.3481,0.4497
WDS,Full Model,MCMC,40,0.3499,0.4533
PD,Full Model,SVI,40,0.3684,0.4819
MUSIC,Full Model,SVI,40,0.3684,0.4819
DS,Full Model,SVI,40,0.3684,0.4819
WDS,Full Model,SVI,40,0.3684,0.4819
DS,Full Model,MCMC,90,0.3688,0.4728
MUSIC,Full Model,MCMC,90,0.3688,0.4728
PD,Full Model,MCMC,90,0.369,0.4692
PD,Width Only,SVI,40,0.3699,0.4993
MUSIC,Width Only,SVI,40,0.37,0.4994
WDS,Width Only,SVI,40,0.37,0.4994
DS,Width Only,SVI,40,0.37,0.4994
PD,Full Model,SVI,95,0.3704,0.4886
WDS,Full Model,SVI,95,0.3706,0.4887
DS,Full Model,SVI,95,0.3706,0.4887
MUSIC,Full Model,SVI,95,0.3706,0.4887
PD,Full Model,MCMC,95,0.3709,0.4719
PD,Full Model,MCMC,100,0.3712,0.4711
WDS,Full Model,MCMC,90,0.3716,0.4739
WDS,Full Model,MCMC,100,0.3716,0.4712
MUSIC,Full Model,MCMC,100,0.372,0.4734
DS,Full Model,MCMC,100,0.372,0.4734
DS,Width Only,MCMC,40,0.3721,0.4805
MUSIC,Width Only,MCMC,40,0.3721,0.4805
WDS,Full Model,MCMC,95,0.3721,0.4709
WDS,Full Model,MCMC,60,0.3727,0.4726
WDS,Width Only,MCMC,40,0.3729,0.4798
MUSIC,Full Model,MCMC,60,0.3729,0.4716
DS,Full Model,MCMC,60,0.3729,0.4716
PD,Width Only,MCMC,40,0.3731,0.4791
MUSIC,Full Model,MCMC,95,0.3733,0.4725
DS,Full Model,MCMC,95,0.3733,0.4725
PD,Full Model,MCMC,60,0.3739,0.4723
PD,Width Only,SVI,95,0.3759,0.5078
MUSIC,Width Only,SVI,95,0.376,0.5079
DS,Width Only,SVI,95,0.376,0.5079
WDS,Width Only,SVI,95,0.3761,0.5079
PD,Full Model,MCMC,80,0.3787,0.4799
DS,Full Model,MCMC,80,0.379,0.4789
MUSIC,Full Model,MCMC,80,0.379,0.4789
WDS,Full Model,MCMC,80,0.3793,0.4797
MUSIC,Full Model,MCMC,20,0.3795,0.4966
DS,Full Model,MCMC,20,0.3795,0.4966
WDS,Full Model,MCMC,20,0.3798,0.496
PD,Full Model,SVI,100,0.3809,0.4993
DS,Full Model,SVI,100,0.381,0.4995
WDS,Full Model,SVI,100,0.381,0.4995
MUSIC,Full Model,SVI,100,0.381,0.4995
PD,Full Model,MCMC,20,0.3835,0.4972
PD,Width Only,SVI,100,0.3854,0.514
WDS,Width Only,SVI,100,0.3856,0.5142
DS,Width Only,SVI,100,0.3857,0.5142
MUSIC,Width Only,SVI,100,0.3857,0.5142
PD,Width Only,SVI,90,0.386,0.5217
DS,Width Only,MCMC,20,0.386,0.5278
MUSIC,Width Only,MCMC,20,0.386,0.5278
MUSIC,Width Only,SVI,90,0.386,0.5218
DS,Width Only,SVI,90,0.386,0.5218
WDS,Width Only,SVI,90,0.3861,0.5218
PD,Width Only,MCMC,20,0.3861,0.5262
PD,Full Model,SVI,80,0.3895,0.509
WDS,Full Model,SVI,80,0.3897,0.5092
MUSIC,Full Model,SVI,80,0.3897,0.5092
DS,Full Model,SVI,80,0.3897,0.5092
WDS,Width Only,MCMC,20,0.39,0.5315
PD,Full Model,SVI,90,0.3934,0.5102
DS,Full Model,SVI,90,0.3936,0.5104
WDS,Full Model,SVI,90,0.3936,0.5104
MUSIC,Full Model,SVI,90,0.3936,0.5104
PD,Width Only,SVI,80,0.3959,0.5261
MUSIC,Width Only,SVI,80,0.3962,0.5263
DS,Width Only,SVI,80,0.3962,0.5263
WDS,Width Only,SVI,80,0.3962,0.5263
DS,Width Only,MCMC,100,0.4023,0.5046
MUSIC,Width Only,MCMC,100,0.4023,0.5046
PD,Width Only,MCMC,80,0.4028,0.5084
WDS,Width Only,MCMC,100,0.4029,0.5032
WDS,Width Only,MCMC,95,0.4036,0.5046
DS,Width Only,MCMC,90,0.4037,0.5048
MUSIC,Width Only,MCMC,90,0.4037,0.5048
PD,Width Only,MCMC,90,0.4039,0.5056
PD,Width Only,MCMC,60,0.4043,0.5005
PD,Width Only,MCMC,95,0.4049,0.5048
PD,Width Only,MCMC,100,0.4054,0.5049
WDS,Width Only,MCMC,80,0.406,0.5085
WDS,Width Only,MCMC,60,0.4064,0.5015
MUSIC,Width Only,MCMC,95,0.4067,0.5071
DS,Width Only,MCMC,95,0.4067,0.5071
WDS,Width Only,MCMC,90,0.4071,0.5091
MUSIC,Width Only,MCMC,60,0.4075,0.5038
DS,Width Only,MCMC,60,0.4075,0.5038
DS,Width Only,MCMC,80,0.4086,0.5105
MUSIC,Width Only,MCMC,80,0.4086,0.5105
PD,Width Only,SVI,60,0.4175,0.5566
PD,Full Model,SVI,20,0.4176,0.5499
