Prior Observation,Feature Set, Inference Method,samples_%,mae,rmse
PD,Full Model,MCMC,100,0.3712,0.4711
WDS,Full Model,MCMC,100,0.3716,0.4712
MUSIC,Full Model,MCMC,100,0.372,0.4734
DS,Full Model,MCMC,100,0.372,0.4734
PD,Full Model,SVI,100,0.3809,0.4993
DS,Full Model,SVI,100,0.381,0.4995
WDS,Full Model,SVI,100,0.381,0.4995
MUSIC,Full Model,SVI,100,0.381,0.4995
PD,Width Model,SVI,100,0.3854,0.514
WDS,Width Model,SVI,100,0.3856,0.5142
DS,Width Model,SVI,100,0.3857,0.5142
MUSIC,Width Model,SVI,100,0.3857,0.5142
DS,Width Model,MCMC,100,0.4023,0.5046
MUSIC,Width Model,MCMC,100,0.4023,0.5046
WDS,Width Model,MCMC,100,0.4029,0.5032
PD,Width Model,MCMC,100,0.4054,0.5049
WDS,Sensor Model,MCMC,100,1.0617,1.2651
MUSIC,Sensor Model,MCMC,100,1.0648,1.2631
DS,Sensor Model,MCMC,100,1.0648,1.2631
PD,Sensor Model,MCMC,100,1.0655,1.2634
PD,Sensor Model,SVI,100,1.069,1.2673
DS,Sensor Model,SVI,100,1.069,1.2673
MUSIC,Sensor Model,SVI,100,1.069,1.2673
WDS,Sensor Model,SVI,100,1.069,1.2673
